,1,2,3,4,13,33,41,61,73,97,117,127,137,142,143,145,147,148,149,150,161,162,163,164,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,187,188,598,601,602,603,604,605,606,637,646,658,690,694,700,701,702,703,704,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,742,743,800
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-04,933.03,957.02,16.9,982.62,1204.74,1490.74,929.62,581.67,1134.49,2611.27,528.81,1529.8,1101.56,1208.94,832.53,316.61,537.97,1147.07,365.6,1033.2,1173.7,1252.26,1009.75,1150.75,1335.77,887.78,1105.54,329.52,1180.13,1432.29,673.03,,2187.81,,,,,,,,,,,,,,,304.35,308.69,279.53,308.06,308.11,315.28,246.42,274.27,315.33,353.14,,396.39,275.0,314.99,390.27,466.37,308.82,296.09,303.15,310.95,303.42,305.17,303.8,305.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0
2013-08-05,930.85,954.77,16.73,984.25,1202.4,1497.74,934.51,579.97,1125.74,2588.78,526.33,1533.51,1100.16,1203.65,839.89,320.81,540.12,1146.67,363.3,1033.27,1179.84,1259.04,1014.09,1150.13,1332.93,922.0,1104.34,330.98,1185.17,1437.31,679.08,,2184.65,,,,,,,,,,,,,,,304.3,308.67,279.44,307.98,308.07,315.15,246.41,274.15,315.11,353.13,,396.35,275.15,314.98,390.19,466.34,308.07,295.81,302.63,310.79,303.11,305.28,303.36,305.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.03
2013-08-06,928.73,952.59,16.69,983.04,1203.21,1487.67,936.82,581.66,1116.94,2567.13,529.4,1548.42,1096.52,1200.87,835.47,318.02,541.66,1144.94,364.08,1032.66,1185.46,1265.3,1016.63,1151.14,1331.86,915.99,1101.02,327.61,1191.06,1431.03,681.24,,2185.95,,,,,,,,,,,,,,,304.26,308.68,279.31,307.86,308.02,314.95,246.33,274.01,314.92,353.19,,396.42,275.21,315.01,390.25,466.46,308.15,295.53,302.53,310.87,303.07,305.36,303.24,305.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.99
2013-08-07,930.99,954.91,16.82,983.72,1196.97,1481.99,941.63,579.45,1124.36,2587.37,534.93,1553.8,1096.44,1200.47,835.34,315.9,538.6,1140.44,362.3,1030.25,1189.71,1269.93,1011.99,1144.83,1330.8,909.79,1100.72,326.08,1192.03,1427.19,689.55,,2182.4,,,,,,,,,,,,,,,304.42,308.93,279.3,307.96,308.25,314.95,246.3,274.2,315.2,353.51,,396.8,275.33,315.05,390.53,467.22,307.92,295.53,302.42,310.85,303.06,305.56,303.05,305.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.01
2013-08-08,932.84,956.83,16.65,983.8,1210.79,1491.1,932.53,579.82,1130.29,2600.74,537.85,1550.22,1097.66,1202.85,833.37,312.59,534.06,1152.76,362.58,1030.69,1185.26,1265.1,1006.29,1158.48,1331.63,906.78,1101.53,321.17,1185.99,1437.0,674.1,,2198.03,,,,,,,,,,,,,,,304.45,308.86,279.51,308.0,308.07,315.2,246.33,274.17,314.97,353.61,,396.9,275.51,315.02,390.49,467.53,308.11,295.83,302.66,310.95,303.24,305.64,303.22,305.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.04
2013-08-11,937.37,961.5,17.03,980.76,1206.74,1486.67,915.0,579.07,1151.98,2660.42,545.33,1549.36,1098.02,1202.75,830.99,309.15,529.92,1149.31,361.75,1024.08,1174.85,1253.65,999.31,1153.87,1325.01,903.43,1101.65,316.15,1192.17,1433.11,652.43,,2197.37,,,,,,,,,,,,,,,304.85,309.15,280.08,308.44,308.29,315.86,246.4,274.43,315.46,354.02,,397.43,275.52,315.08,390.94,468.53,308.3,296.16,302.92,311.41,303.51,305.94,303.33,307.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.07
2013-08-12,935.86,959.95,16.88,979.24,1212.37,1480.82,919.67,578.13,1147.33,2648.9,542.82,1542.57,1099.09,1206.86,827.01,308.95,525.54,1152.13,360.85,1025.2,1171.54,1250.09,989.97,1158.85,1321.76,898.16,1102.07,316.81,1184.49,1427.69,663.27,,2198.23,,,,,,,,,,,,,,,304.86,309.04,280.28,308.41,308.02,316.07,246.27,274.23,315.22,354.05,,397.49,275.43,315.09,391.05,468.6,308.57,296.31,303.13,311.65,303.71,306.13,303.64,307.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.05
2013-08-13,940.51,964.74,17.17,979.79,1203.65,1488.92,938.46,584.72,1147.14,2647.07,545.6,1552.51,1105.49,1211.72,838.81,315.17,528.53,1149.03,365.33,1039.87,1174.99,1253.79,996.03,1149.52,1343.14,923.68,1108.38,321.47,1202.95,1435.86,683.41,,2199.93,,,,,,,,,,,,,,,304.67,308.82,280.13,308.17,307.72,315.88,246.17,273.83,314.82,353.88,,397.26,275.41,315.02,390.95,468.14,308.4,295.97,302.87,311.55,303.5,306.0,303.43,307.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.02
2013-08-14,942.13,966.4,16.93,982.91,1201.98,1453.72,943.77,585.73,1152.98,2663.28,546.54,1549.62,1107.13,1212.58,840.04,315.5,527.52,1139.2,365.9,1041.64,1173.94,1252.57,995.55,1149.26,1342.92,927.66,1110.02,321.8,1203.46,1404.6,687.26,,2191.05,,,,,,,,,,,,,,,304.43,308.53,279.96,307.9,307.41,315.63,246.2,273.54,314.42,353.57,,396.84,275.51,315.02,390.63,467.27,308.15,295.63,302.58,311.59,303.28,305.93,303.2,307.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.06
2013-08-15,937.09,961.21,17.01,982.23,1190.6,1414.22,942.7,583.82,1143.9,2638.56,546.25,1561.11,1099.26,1204.89,835.3,313.52,523.93,1124.85,363.38,1036.8,1172.63,1251.1,989.61,1135.91,1335.45,926.27,1102.05,318.83,1211.93,1368.23,689.12,,2178.5,,,,,,,,,,,,,,,303.95,308.01,279.59,307.48,306.94,315.25,246.09,273.28,313.86,352.91,,395.97,275.58,315.04,390.22,465.22,307.68,295.15,302.1,310.56,302.79,305.43,302.82,306.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.07
2013-08-18,938.8,962.95,17.29,983.35,1201.61,1418.72,949.07,583.56,1140.9,2629.35,545.13,1566.25,1100.97,1207.24,838.48,317.77,534.5,1134.71,362.28,1043.78,1179.73,1258.8,1007.6,1147.11,1340.45,946.52,1104.57,321.56,1218.97,1374.52,694.14,,2187.34,,,,,,,,,,,,,,,303.48,307.39,279.39,307.02,306.25,315.0,246.26,273.06,312.95,352.24,,395.07,275.71,315.07,389.52,463.37,307.24,294.81,301.71,310.3,302.5,305.33,302.53,306.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.06
2013-08-19,942.21,966.45,17.59,984.2,1194.44,1417.37,962.39,583.43,1144.15,2638.22,550.85,1589.66,1102.02,1208.84,839.03,318.0,538.0,1131.15,361.85,1044.78,1188.4,1268.24,1015.42,1140.16,1347.39,948.77,1106.07,321.62,1232.86,1376.48,707.21,,2184.28,,,,,,,,,,,,,,,303.03,306.78,279.21,306.68,305.77,314.81,246.3,272.85,312.3,351.43,,393.99,275.83,314.96,388.4,461.49,306.86,294.33,301.28,309.71,302.15,305.15,302.26,306.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.03
2013-08-20,938.38,962.5,17.79,983.78,1203.03,1406.4,957.29,581.88,1127.9,2592.75,556.46,1614.37,1099.54,1207.81,836.82,317.92,537.36,1133.39,359.71,1044.12,1189.32,1269.2,1015.53,1150.07,1345.9,958.92,1103.54,319.62,1245.56,1366.64,701.12,,2192.73,,,,,,,,,,,,,,,303.14,306.93,279.22,306.83,306.01,314.87,246.32,273.23,312.78,351.53,,394.1,275.92,314.93,388.28,461.92,306.61,294.04,301.01,309.22,301.86,304.82,301.91,306.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.05
2013-08-21,934.08,958.07,17.61,984.55,1202.94,1411.76,952.81,581.47,1115.33,2556.29,555.64,1616.5,1097.22,1203.22,839.62,319.22,537.9,1133.86,358.53,1045.54,1189.9,1269.87,1015.25,1149.4,1344.24,970.23,1101.28,319.7,1245.38,1369.91,693.44,,2174.42,,,,,,,,,,,,,,,302.75,306.4,279.08,306.49,305.51,314.67,246.36,272.77,312.08,350.87,,393.23,275.97,314.9,387.63,460.16,306.16,293.52,300.52,308.92,301.36,304.29,301.45,306.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.05
2013-08-22,930.55,954.43,17.62,983.54,1201.05,1402.52,949.52,583.25,1109.37,2541.28,552.69,1597.61,1095.28,1201.28,838.02,320.97,535.35,1126.98,360.13,1046.83,1183.14,1262.48,1008.45,1147.07,1340.98,965.62,1099.0,322.51,1233.88,1360.43,688.15,,2159.7,,,,,,,,,,,,,,,302.36,305.89,278.89,306.15,305.02,314.48,246.38,272.38,311.67,350.28,,392.45,276.0,314.85,386.94,458.7,305.9,293.29,300.28,308.41,301.08,303.95,301.13,306.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.05
2013-08-25,931.3,955.19,17.85,985.51,1191.43,1406.69,955.04,581.29,1110.35,2544.65,551.72,1607.92,1095.01,1198.56,841.31,323.68,542.85,1122.75,358.54,1047.7,1193.7,1273.95,1019.78,1136.88,1339.96,989.41,1099.58,322.86,1235.27,1363.36,693.04,,2155.52,,,,,,,,,,,,,,,303.11,306.73,279.47,306.96,305.91,315.24,246.49,272.78,312.53,351.21,,393.62,276.21,315.01,387.8,460.97,306.8,294.18,301.17,308.71,301.74,304.15,301.73,307.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.07
2013-08-26,924.65,948.37,17.45,982.18,1168.98,1381.27,934.02,573.79,1117.33,2572.71,542.56,1574.16,1082.09,1184.39,826.97,320.12,535.3,1100.56,353.17,1029.22,1186.91,1266.7,1006.29,1116.68,1314.45,976.77,1086.88,319.28,1208.13,1336.21,670.33,,2120.97,,,,,,,,,,,,,,,302.98,306.77,279.08,306.66,305.8,314.74,246.48,272.36,312.09,351.38,,393.85,276.16,315.01,387.95,461.47,306.23,293.68,300.63,308.5,301.26,303.76,301.28,306.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1
2013-08-27,910.22,933.56,16.45,975.44,1137.12,1350.08,899.86,560.13,1116.83,2578.9,524.43,1530.07,1060.23,1156.19,813.58,316.48,515.57,1070.27,343.54,1006.09,1164.27,1242.3,971.81,1084.81,1282.56,957.07,1064.53,316.74,1177.55,1300.98,633.41,,2042.15,,,,,,,,,,,,,,,301.98,306.19,277.44,305.33,305.01,312.83,246.42,271.58,310.87,350.78,,393.17,275.72,314.94,387.35,460.2,304.63,292.25,299.12,306.74,299.61,301.85,299.87,304.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.08
2013-08-28,915.22,938.73,16.51,971.57,1152.16,1371.26,917.1,565.51,1117.3,2580.56,524.84,1530.63,1069.69,1164.69,825.35,318.95,518.6,1089.51,348.88,1016.56,1168.31,1246.8,975.59,1100.47,1299.72,958.27,1073.61,320.4,1180.13,1325.55,651.54,,2053.66,,,,,,,,,,,,,,,301.44,305.7,276.85,304.73,304.55,312.09,246.41,271.24,309.95,350.24,,392.5,275.55,314.91,386.87,458.83,303.93,291.58,298.43,306.64,298.89,301.08,299.29,303.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.08
2013-08-29,921.01,944.68,16.55,973.99,1181.13,1399.33,939.68,570.72,1116.99,2575.54,522.57,1531.19,1081.68,1178.41,833.88,321.68,526.85,1111.35,352.28,1034.67,1174.56,1253.56,989.29,1129.02,1315.29,964.34,1085.68,323.77,1181.95,1353.46,677.48,,2096.86,,,,,,,,,,,,,,,301.76,305.85,277.41,305.02,304.41,312.81,246.41,271.06,309.81,350.69,,393.08,275.57,314.93,387.35,459.97,304.59,292.08,299.01,307.06,299.49,301.69,299.54,304.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1
2013-09-01,924.46,948.22,17.06,975.58,1188.55,1424.63,943.28,573.63,1111.73,2558.87,528.87,1554.44,1085.23,1185.11,833.18,321.26,536.94,1124.49,353.31,1040.04,1195.94,1276.91,1006.24,1133.61,1320.62,967.45,1089.95,322.57,1201.87,1374.63,676.19,,2113.42,,,,,,,,,,,,,,,302.57,306.45,278.54,306.03,305.1,314.15,246.49,271.53,310.57,351.32,,393.92,275.5,314.98,387.99,461.65,305.39,293.38,300.06,308.06,300.68,303.19,300.4,306.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.15
2013-09-02,929.07,952.95,17.04,977.56,1198.97,1441.53,940.8,575.38,1117.82,2571.69,532.6,1562.98,1090.82,1190.1,839.09,323.37,538.8,1136.25,354.55,1046.99,1200.96,1282.35,1009.51,1142.39,1329.89,971.2,1095.51,325.21,1206.57,1394.19,669.65,,2116.75,,,,,,,,,,,,,,,302.45,306.2,278.64,305.95,304.86,314.24,246.52,271.59,310.33,351.03,,393.47,275.84,315.01,387.62,460.72,305.19,293.03,299.78,308.25,300.57,303.4,300.25,306.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.15
2013-09-03,924.64,948.39,16.97,978.79,1182.7,1430.32,941.0,566.5,1119.85,2583.5,527.07,1544.91,1082.06,1179.73,831.84,322.06,539.31,1123.24,347.11,1038.23,1200.22,1281.52,1009.02,1125.72,1316.93,963.67,1087.38,324.59,1191.81,1386.2,673.0,,2087.81,,,,,,,,,,,,,,,301.96,305.58,278.38,305.47,304.25,313.88,246.47,271.22,309.55,350.31,,392.54,275.79,315.0,386.96,458.79,304.88,292.52,299.38,308.17,300.24,303.26,299.94,306.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.12
2013-09-08,914.65,938.1,16.68,978.29,1158.95,1403.68,930.63,560.84,1113.64,2571.33,518.48,1518.3,1068.62,1165.42,818.14,319.23,538.91,1099.51,342.2,1026.95,1190.64,1271.06,1008.83,1102.13,1296.86,951.96,1074.94,321.73,1177.24,1352.65,659.25,,2057.79,,,,,,,,,,,,,,,301.37,305.11,277.61,304.72,303.72,312.88,246.59,270.74,308.91,349.78,,391.87,275.68,315.04,386.36,457.47,303.65,291.41,298.2,307.62,299.22,302.53,299.02,305.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.17
2013-09-09,922.57,946.28,16.42,978.62,1165.06,1409.05,950.25,563.9,1121.84,2590.52,528.87,1530.47,1080.65,1179.84,826.95,322.65,544.94,1104.33,344.86,1036.26,1194.82,1275.67,1018.5,1110.59,1313.37,962.84,1086.67,325.41,1185.31,1358.93,682.51,,2099.28,,,,,,,,,,,,,,,301.77,305.49,278.0,305.17,304.1,313.41,246.59,271.16,309.34,350.22,,392.48,275.53,315.05,386.86,458.67,304.48,292.16,298.99,307.73,299.84,302.82,299.62,305.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.19
2013-09-10,932.54,956.54,16.63,978.27,1185.16,1425.05,959.94,572.06,1123.8,2587.93,543.42,1581.31,1095.89,1198.44,839.0,326.2,552.98,1119.42,350.71,1044.77,1206.54,1288.49,1031.53,1133.73,1334.26,973.51,1101.42,329.26,1219.34,1376.25,695.69,,2152.46,,,,,,,,,,,,,,,302.17,305.82,278.51,305.67,304.5,314.03,246.73,271.66,309.85,350.53,,392.86,275.67,315.1,387.2,459.35,305.01,293.16,299.76,308.04,300.54,303.39,300.27,305.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.22
2013-09-11,934.4,958.46,16.43,979.51,1201.67,1440.36,961.13,573.45,1125.43,2591.33,542.92,1570.17,1097.62,1200.43,839.91,325.71,556.44,1133.79,351.31,1047.83,1212.74,1295.3,1037.63,1151.17,1336.24,978.16,1103.36,327.93,1204.29,1391.75,692.74,,2169.73,,,,,,,,,,,,,,,302.88,306.54,279.19,306.46,305.28,314.85,246.83,272.18,310.96,351.35,,393.91,275.73,315.1,388.01,461.48,305.83,293.93,300.56,308.51,301.33,304.16,300.99,306.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.22
2013-09-12,931.8,955.78,16.21,979.73,1211.26,1444.19,960.14,573.59,1118.71,2573.95,542.97,1574.32,1094.62,1202.81,827.92,318.27,558.07,1140.45,351.81,1048.72,1215.75,1298.67,1040.01,1162.58,1334.1,974.16,1100.51,319.01,1208.52,1393.35,692.87,,2184.32,,,,,,,,,,,,,,,303.24,306.75,279.78,307.03,305.66,315.62,246.84,272.54,311.66,351.45,,394.03,275.75,315.13,388.11,461.71,306.44,294.6,301.2,308.78,301.97,304.8,301.65,307.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.26
2013-09-15,945.3,969.66,16.62,984.14,1231.78,1477.37,970.12,581.24,1129.75,2598.77,559.89,1613.88,1112.16,1225.8,837.85,320.3,565.69,1162.6,357.49,1060.84,1228.99,1312.99,1052.08,1182.76,1349.46,971.59,1117.64,323.35,1238.62,1424.79,703.74,,2224.47,,,,,,,,,,,,,,,303.54,306.83,280.41,307.52,305.82,316.44,246.79,272.58,311.97,351.49,,394.07,275.79,315.15,387.98,461.9,307.12,295.27,301.87,309.1,302.67,305.57,302.14,308.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.27
2013-09-16,947.39,971.81,16.64,985.58,1235.53,1484.0,986.56,584.69,1127.45,2594.22,566.0,1615.84,1116.05,1230.37,841.45,318.45,562.36,1167.99,360.13,1062.34,1227.84,1311.68,1046.43,1184.26,1357.05,975.0,1120.9,320.22,1238.67,1437.14,721.61,,2242.88,,,,,,,,,,,,,,,304.06,307.49,280.71,307.86,306.21,316.74,246.29,272.6,312.98,352.47,,395.33,275.86,315.24,389.11,464.23,307.34,295.6,302.15,309.76,302.89,305.67,302.2,309.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.29
2013-09-17,950.37,974.88,16.63,986.99,1249.48,1479.56,998.24,588.24,1121.19,2574.68,573.29,1635.15,1123.38,1240.08,845.72,321.11,560.56,1173.56,361.27,1069.79,1230.09,1314.1,1043.04,1198.91,1366.1,978.53,1127.47,323.17,1243.8,1430.87,732.48,,2254.2,,,,,,,,,,,,,,,303.71,307.03,280.53,307.51,305.77,316.46,246.23,272.27,312.38,351.92,,394.63,275.8,315.23,388.68,462.8,307.21,295.25,301.91,310.02,302.53,305.07,301.96,308.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.31
2013-09-22,952.84,977.42,16.67,988.02,1261.64,1480.24,1014.75,591.72,1116.91,2561.41,575.68,1648.84,1129.62,1252.98,841.93,320.1,558.08,1181.41,363.68,1074.6,1231.32,1315.4,1038.85,1212.33,1373.0,959.18,1132.94,323.69,1251.72,1431.22,751.56,,2295.47,,,,,,,,,,,,,,,304.75,308.26,281.25,308.51,306.99,317.28,246.31,273.29,314.17,353.36,,396.51,275.79,315.36,390.12,466.3,308.1,296.02,302.74,310.96,303.34,305.86,302.75,309.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.39
2013-09-23,959.97,984.76,16.65,990.48,1269.2,1481.95,1014.8,592.79,1126.31,2586.41,579.92,1679.67,1137.66,1261.54,848.74,324.68,561.79,1187.07,364.48,1084.28,1239.95,1324.81,1045.22,1219.63,1379.56,974.26,1140.94,327.44,1263.71,1429.75,747.97,,2297.21,,,,,,,,,,,,,,,305.29,308.86,281.66,309.09,307.64,317.8,246.27,273.84,315.03,354.01,,397.31,275.98,315.5,390.66,467.8,308.45,296.66,303.24,311.18,303.84,306.37,303.22,310.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.41
2013-09-24,961.08,985.88,16.8,994.9,1259.88,1504.34,1026.15,593.9,1126.59,2583.43,576.18,1681.58,1135.82,1256.36,852.78,324.88,563.24,1185.33,363.74,1083.23,1250.34,1336.04,1048.38,1208.12,1382.68,974.79,1139.43,328.01,1270.62,1452.6,757.69,,2284.63,,,,,,,,,,,,,,,305.93,309.44,282.38,309.93,308.48,318.65,246.33,274.13,316.25,354.44,,397.81,276.29,315.75,391.1,468.54,309.28,297.64,304.14,311.95,304.75,307.31,304.12,311.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.6
2013-09-29,970.99,996.07,16.99,999.66,1265.29,1527.81,1040.75,595.25,1136.39,2608.4,587.89,1689.88,1147.99,1270.93,862.64,332.82,577.54,1195.3,363.72,1096.97,1264.73,1351.65,1072.17,1213.49,1396.14,997.07,1152.27,334.96,1284.17,1477.93,775.6,,2299.7,,,,,,,,,,,,,,,306.24,309.72,282.68,310.22,308.72,319.01,246.43,274.39,316.46,354.82,,398.31,276.29,315.83,391.23,469.65,309.54,297.62,304.27,312.37,305.06,307.98,304.31,311.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.68
2013-09-30,965.52,990.41,17.21,1001.71,1264.86,1506.05,1041.6,597.31,1121.37,2566.25,586.8,1692.83,1142.51,1264.98,859.76,331.32,573.62,1189.63,365.15,1092.45,1264.55,1351.32,1066.88,1214.08,1396.26,999.44,1146.64,331.98,1278.18,1454.93,777.1,,2309.26,,,,,,,,,,,,,,,305.92,309.31,282.53,309.81,308.11,318.77,246.31,274.09,315.5,354.48,,397.82,276.48,315.88,390.95,468.59,309.19,297.4,303.98,312.43,304.82,307.83,304.04,311.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.68
2013-10-01,972.18,997.25,17.75,1002.71,1276.49,1508.29,1050.27,597.78,1126.11,2575.77,595.55,1702.77,1150.47,1274.78,863.91,334.81,581.45,1197.58,364.78,1099.69,1281.65,1369.93,1082.33,1225.88,1398.71,1015.93,1155.11,334.83,1284.23,1457.48,786.39,,2328.17,,,,,,,,,,,,,,,305.63,308.93,282.41,309.4,307.48,318.57,246.29,273.84,314.74,354.3,,397.6,276.42,315.91,390.84,468.09,308.88,297.06,303.65,312.39,304.58,307.79,303.75,311.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.68
2013-10-02,972.33,997.4,17.7,1005.94,1274.43,1509.24,1046.51,595.04,1125.1,2574.1,595.63,1707.03,1148.53,1271.97,862.79,336.67,590.67,1196.58,362.48,1103.81,1295.5,1385.06,1097.23,1224.96,1391.61,1031.12,1154.26,336.32,1281.25,1452.6,781.54,,2312.67,,,,,,,,,,,,,,,305.97,309.33,282.62,309.68,307.83,318.79,246.35,274.1,315.32,354.8,,398.22,276.55,315.91,391.29,469.3,309.21,297.14,303.86,312.59,304.71,307.76,303.93,310.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.67
2013-10-03,969.07,994.02,17.68,1011.89,1265.94,1498.1,1025.14,589.09,1130.87,2595.89,590.59,1680.01,1136.91,1257.64,851.09,331.55,587.56,1185.72,358.36,1087.68,1308.3,1398.93,1091.49,1217.58,1371.37,1018.33,1143.26,331.03,1258.65,1439.16,757.52,,2280.75,,,,,,,,,,,,,,,306.21,309.61,282.81,310.0,308.26,319.02,246.51,274.73,315.84,354.96,,398.39,276.71,315.95,391.39,469.62,309.3,297.13,303.9,312.67,304.81,307.98,304.04,311.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.7
2013-10-06,981.76,1007.08,17.8,1013.05,1275.43,1523.16,1036.28,596.93,1152.63,2648.83,595.63,1698.05,1153.06,1275.3,861.32,334.01,593.69,1199.39,364.55,1101.61,1314.79,1406.01,1101.75,1227.56,1392.34,1027.62,1159.37,334.26,1274.64,1466.18,765.77,,2313.88,,,,,,,,,,,,,,,306.57,309.93,283.2,310.44,308.66,319.5,246.6,275.08,316.44,355.24,,398.76,276.69,315.98,391.61,470.35,309.85,297.56,304.38,312.95,305.22,308.25,304.42,311.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.73
2013-10-07,983.66,1009.08,17.55,1005.93,1277.74,1536.46,1044.57,599.86,1152.31,2647.54,593.06,1713.48,1156.94,1280.59,862.63,333.85,593.34,1203.28,367.64,1107.52,1311.92,1403.19,1101.74,1230.09,1397.73,1029.54,1163.03,333.33,1284.84,1477.37,777.51,,2318.41,,,,,,,,,,,,,,,306.55,309.92,283.17,310.44,308.68,319.49,246.64,275.21,316.48,355.21,,398.71,276.74,315.98,391.63,470.23,310.11,297.74,304.6,312.97,305.31,308.07,304.81,311.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.73
2013-10-08,987.38,1012.92,17.52,1002.73,1280.87,1554.03,1053.27,601.17,1160.1,2666.27,590.07,1716.24,1159.52,1282.07,865.93,334.37,599.75,1210.69,369.4,1116.45,1316.66,1408.57,1111.56,1232.28,1401.89,1037.4,1166.16,334.25,1281.41,1493.72,792.52,,2317.28,,,,,,,,,,,,,,,306.23,309.87,282.45,310.05,308.67,318.7,246.62,275.06,316.47,355.1,,398.6,276.61,315.99,391.63,469.93,309.87,297.58,304.4,312.64,305.02,307.62,304.63,309.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.74
2013-10-09,988.94,1014.53,17.6,1002.07,1291.99,1563.51,1047.4,603.31,1162.06,2669.81,596.03,1736.69,1160.51,1286.12,861.91,328.69,594.33,1220.17,370.45,1116.59,1314.87,1406.59,1102.32,1243.32,1408.08,1013.02,1166.47,330.15,1292.62,1504.01,786.47,,2319.55,,,,,,,,,,,,,,,306.36,310.05,282.48,310.18,308.88,318.76,246.62,274.95,317.11,355.3,,398.86,276.61,316.0,391.82,470.42,309.78,297.5,304.32,312.6,305.07,307.95,304.6,309.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.74
